Timestamp,Qual nomenclatura é utilizada atualmente para o seu papel na empresa onde você trabalha?,Qual cargo você ocupa atualmente?,Qual é a sua senioridade?,Quantos anos de experiência você tem na área de testes?,Como é a sua relação com automação de testes na empresa onde você trabalha atualmente?,Qual regime de contratação você se encontra na empresa atual?,Modelo de Atuação,Você possui alguma certificação internacional em testes de software?,Em qual moeda seu empregador faz seus pagamentos?,Qual é o seu salário bruto?,Qual é seu gênero?,Em qual região do Brasil você vive atualmente?,Em qual região do Brasil está localizada a empresa onde você trabalha atualmente?,Com que frequência você precisa conversar em inglês no trabalho?,Com qual etnia você se identifica?,Qual é sua formação acadêmica?,(Opcional) Quais linguagens de programação são utilizadas para automação de testes na empresa onde você trabalha?,(Opcional) Quais ferramentas de automação de testes você utiliza na empresa onde você trabalha atualmente?,"(Opcional) A empresa onde você trabalha possui cargo formal de liderança em testes de software? ex. QA Lead, Líder de Testes, Gerente de QA, etc.",(Opcional) Você foi atingido por algum lay off nos últimos 12 meses?,(Opcional) Sua empresa transferiu as responsabilidades relacionadas a teste de software aos desenvolvedores?,(Opcional) Qual relação você possui com Inteligência Artificial e Testes na empresa onde você trabalha arualmente?,(Opcional) Como você conseguiu a oportunidade de participar do processo seletivo da empresa onde você atua hoje em dia?
1/9/2025 7:24:20,QA,Analista,Júnior,1,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,3600,Feminino,Nordeste,Nordeste,Não preciso conversar em inglês no trabalho,Parda,Pós-Graduado,,,Não,Não,Não,Nenhum,Indicação Interna
1/9/2025 7:24:34,QA,Engenheiro,Pleno,4,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,14000,Masculino,Sudeste,Sudeste,Todos os dias,Negra,Mestrado,No code,Sofy para automação mobile,Sim,Não,Não,Uso Inteligência Artificial para Testar,Fui abordado por Recrutador
1/9/2025 7:27:18,QA,Analista,Sênior,8,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,8450,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,Javascript ,Cypress,Sim,Não,Sim,Uso Inteligência Artificial para Testar,Fui abordado por Recrutador
1/9/2025 7:28:05,QA,Analista,Júnior,3,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,3000,Feminino,Nordeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,,,Não,Não,Não,Nenhum,Indicação Interna
1/9/2025 7:28:51,QA,Engenheiro,Sênior,13,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,10053,Masculino,Sul,Sudeste,Não preciso conversar em inglês no trabalho,Negra,Pós-Graduado,"JavaScript, Python","Jest, SupertTest, Robot FrameWork",Não,Não,Sim,Uso Inteligência Artificial para Testar,Indicação Interna
1/9/2025 7:28:56,QA,Engenheiro,Sênior,8,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,12000,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Pós-Graduado,Java e javascript,Java e javascript,Sim,Não,Não,Nenhum,Linkedin
1/9/2025 7:28:58,QA,Líder,Sênior,6,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,10800,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Negra,Ensino Superior Completo,javascript / typescript/ php/ android e nativo,Cypress / mobile dev / postman,Sim,Não,"Não, mas planejam fazer isso este ano",Testo aplicativos baseados em Inteligência Artificial,Linkedin
1/9/2025 7:30:02,QA,Analista,Pleno,4,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,7000,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,"Java, JavaScript ","Apium, playwrite",Sim,Não,Não,Uso Inteligência Artificial para Testar,Programa de estágio 
1/9/2025 7:30:10,Testador,Analista,Júnior,2,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,2300,Masculino,Sudeste,Sul,Não preciso conversar em inglês no trabalho,Negra,Ensino Superior Completo,Javascript,"testlink, postman",Não,Não,Não,Uso Inteligência Artificial para Testar,Linkedin
1/9/2025 7:30:38,Testador,Executor,Pleno,3,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,3900,Masculino,Nordeste,Nordeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,"Python, JS","Cypress, Robot",Sim,Não,Não,Nenhum,Indicação Interna
1/9/2025 7:32:20,QA,Analista,Pleno,6,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Sim,Reais,8500,Masculino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Python,Behave,Sim,Não,Não,Nenhum,Indicação Interna
1/9/2025 7:32:37,Testador,Analista,Júnior,3,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,4500,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Médio Completo,,,Não,Não,Não,Nenhum,Site de Vagas
1/9/2025 7:33:02,QA,Analista,Pleno,4,Não uso automação de testes,PJ (Você tem sua própria empresa),100% Remoto (Brasil),Não,Reais,7000,Masculino,Sul,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,,,Sim,Não,Não,Uso Inteligência Artificial para Testar,Linkedin
1/9/2025 7:33:30,QA,Engenheiro,Pleno,13,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,9900,Masculino,Sudeste,Sul,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Java,"Rest-assured , Cypress, MongoDB, Kafka",Sim,Não,Não,Nenhum,Fui abordado por Recrutador
1/9/2025 7:33:40,QA,Líder,Sênior,5,Não uso automação de testes,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Sim,Reais,10057,Feminino,Norte,Sudeste,Algumas vezes por mês,Parda,Pós-Graduado,Python ,Ferramenta proprietária ,Sim,Não,Não,Nenhum,Indicação Interna
1/9/2025 7:34:11,QA,Analista,Júnior,3,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,4500,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Negra,Pós-Graduado,JS,Cypress,Sim,Não,Não,Uso Inteligência Artificial para Testar,Linkedin
1/9/2025 7:34:20,QA,Analista,Pleno,5,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,5000,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Médio Completo,,,Não,Não,Não,Nenhum,Linkedin
